封面,名称,类型,排名,话数,放送时间,导演,声优,脚本,评分,评分人数
https://lain.bgm.tv/pic/cover/s/c2/4c/253_t3XWb.jpg,星际牛仔,TV,1,26,1998年10月23日,渡辺信一郎,山寺宏一、Steven Blum、石塚運昇、김기현、林原めぐみ、Wendee Lee、多田葵、山寺宏一、若本規夫、高島雅羅、緑川光、堀内賢雄,"['矢立肇', '川元利浩']",9.1,9254
https://lain.bgm.tv/pic/cover/s/a6/66/326_M9f1M.jpg,攻壳机动队 S.A.C. 2nd GIG,TV,2,26,2004年1月1日,神山健治,田中敦子、大塚明夫、阪脩、山寺宏一、仲野裕、大川透、小野塚貴志、玉川砂記子,['士郎正宗'],9.1,5008
https://lain.bgm.tv/pic/cover/s/f2/fc/324_psuXk.jpg,攻壳机动队 STAND ALONE COMPLEX,TV,3,26,2002年10月1日,神山健治,田中敦子、大塚明夫、山寺宏一、阪脩、山寺宏一、仲野裕、大川透、小野塚貴志,"['士郎正宗', '下村一']",9.1,6083
https://lain.bgm.tv/pic/cover/s/67/d1/876_dCfrd.jpg,CLANNAD ～AFTER STORY～,TV,4,24,2008年10月2日,石原立也,中村悠一、中原麻衣、こおろぎさとみ、井上喜久子、置鮎龍太郎、中博史、緑川光、川上とも子、広橋涼,"['Key', ""VisualArt's"", '池田和美']",9.0,13884
https://lain.bgm.tv/pic/cover/s/53/9f/237_a8aEP.jpg,攻壳机动队,剧场版,5,1,1995年11月18日,押井守,田中敦子、坂本真綾、大塚明夫、大木民夫、山寺宏一、仲野裕、家弓家正,"['士郎正宗', '沖浦啓之']",8.9,5365
https://lain.bgm.tv/pic/cover/s/fe/45/6049_tbM7S.jpg,新世纪福音战士剧场版 Air/真心为你,剧场版,6,2,1997年7月19日,未知,緒方恵美、林原めぐみ、宮村優子、三石琴乃、山口由里子、長沢美樹、清川元夢、優希比呂、子安武人,[],8.9,8443
https://lain.bgm.tv/pic/cover/s/e5/69/265_Z5Uou.jpg,新世纪福音战士,TV,7,26,1995年10月4日,庵野秀明,緒方恵美、林原めぐみ、宮村優子、三石琴乃、長沢美樹、山寺宏一、清川元夢、岩永哲哉、岩男潤子,"['GAINAX', '貞本義行']",8.9,15480
https://lain.bgm.tv/pic/cover/s/fd/60/25961_WDKz6.jpg,猫和老鼠,TV,8,161,1940年2月10日,WilliamHanna(1940–58)JosephBarbera(1940–58,,['2005)GeneDeitch(1961–62)ChuckJones(1963–67)MauriceNoble(1964–67)AbeLevitow(1965–67)TomRay(1966–67)BenWasham(1966–67)'],8.9,4969
https://lain.bgm.tv/pic/cover/s/71/37/1728_HLsCr.jpg,浪客剑心 追忆篇,OVA,9,4,1999年2月20日,古橋一浩,涼風真世、鈴木真仁、岩男潤子、池田秀一、鈴置洋孝、小粥よう子、佐々木望、関智一、岩永哲哉、高木渉,"['和月伸宏', '柳沢まさひで']",8.9,4386
https://lain.bgm.tv/pic/cover/s/5c/49/211567_pGm5Q.jpg,3月的狮子 第二季,TV,10,22,2017年10月14日,新房昭之,河西健吾、茅野愛衣、花澤香菜、久野美咲、三瓶由布子、岡本信彦、井上麻里奈、細谷佳正、三木眞一郎、杉田智和,"['羽海野チカ（白泉社ヤングアニマル連載）', '杉山延寛']",8.8,4292
